"X8.Number.of.samples"	"X8.KL.divergence"
"463"	9260	0.00104036284864319
"464"	9280	0.00103140862302979
"465"	9300	0.00101977352836807
"466"	9320	0.00102310193766367
"467"	9340	0.00107259474462387
"468"	9360	0.001021948933751
"469"	9380	0.000964776313090635
"470"	9400	0.000993954196541246
"471"	9420	0.000990267196723744
"472"	9440	0.00100916079186581
"473"	9460	0.00100265792963463
"474"	9480	0.000969188684984019
"475"	9500	0.000970968253176173
"476"	9520	0.00104846496555886
"477"	9540	0.00103237993692214
"478"	9560	0.000988181043455544
"479"	9580	0.000980371308957099
"480"	9600	0.00100962597331937
"481"	9620	0.000932747645309494
"482"	9640	0.000994240894556483
"483"	9660	0.000964068717011516
"484"	9680	0.000982545452556466
"485"	9700	0.000958673513772162
"486"	9720	0.000976994706089264
"487"	9740	0.000884522209602332
"488"	9760	0.000986525046926535
"489"	9780	0.00100516952043207
"490"	9800	0.000979497390061304
"491"	9820	0.000969951753566152
"492"	9840	0.000962624403942768
"493"	9860	0.000944352624725589
"494"	9880	0.000966906786869161
"495"	9900	0.000920433015469674
"496"	9920	0.0010652469448791
"497"	9940	0.000939968197167871
"498"	9960	0.00101435718895722
"499"	9980	0.000997625903367832
"500"	10000	0.000952997140284849
"501"	10020	0.00101838010765938
"502"	10040	0.000911321262720805
"503"	10060	0.000920570233155229
"504"	10080	0.000946801203618359
"505"	10100	0.000982137106571511
"506"	10120	0.00102025754385227
"507"	10140	0.000999386080861062
"508"	10160	0.000926942880562997
"509"	10180	0.000920382462634135
"510"	10200	0.000973394994868546
"511"	10220	0.000938894566996233
"512"	10240	0.000926422265964548
"513"	10260	0.000892409086810125
"514"	10280	0.000939100554162169
"515"	10300	0.00085682871059491
"516"	10320	0.000937762681966719
"517"	10340	0.000902420816065481
"518"	10360	0.000951181404349961
"519"	10380	0.000900074426822958
"520"	10400	0.000953479645248698
"521"	10420	0.000907591919160234
"522"	10440	0.000895689177280246
"523"	10460	0.000867083701650718
"524"	10480	0.000884854468796506
"525"	10500	0.000902859168636228
"526"	10520	0.000869676282333215
"527"	10540	0.000897384753703627
"528"	10560	0.000823223449881161
"529"	10580	0.000887076563031516
"530"	10600	0.000916872625062572
"531"	10620	0.000908558642472932
"532"	10640	0.000909601453919507
"533"	10660	0.00089106013220016
"534"	10680	0.000908265665688896
"535"	10700	0.000912658691861609
"536"	10720	0.000900163097345863
"537"	10740	0.000915049601170782
"538"	10760	0.000867664808472342
"539"	10780	0.000879977594103763
"540"	10800	0.000862560759561146
"541"	10820	0.000875454271273984
"542"	10840	0.000950299523646495
"543"	10860	0.000833107726322859
"544"	10880	0.000890877734009925
"545"	10900	0.000876882929174934
"546"	10920	0.000877468415472256
"547"	10940	0.000916386074765825
"548"	10960	0.000854797043620669
"549"	10980	0.000838238260422962
"550"	11000	0.000826577388572704
"551"	11020	0.000839755428389673
"552"	11040	0.000912335383981541
"553"	11060	0.000861091888611672
"554"	11080	0.000882868009209594
"555"	11100	0.000924272395582082
"556"	11120	0.000843773291871616
"557"	11140	0.000828252735892
"558"	11160	0.000852829177671466
"559"	11180	0.000861309968962742
"560"	11200	0.00082471776934534
"561"	11220	0.000815158772000696
"562"	11240	0.000918398476674432
"563"	11260	0.000855980277112233
"564"	11280	0.000816015095097388
"565"	11300	0.000857750896503657
"566"	11320	0.000813019418683648
"567"	11340	0.000882416457896658
"568"	11360	0.000888145840330064
"569"	11380	0.000819095045911321
"570"	11400	0.000791409511505922
"571"	11420	0.000838080305747321
"572"	11440	0.000793398329474751
"573"	11460	0.000837526819291821
"574"	11480	0.000858993609373881
"575"	11500	0.000808885310157042
"576"	11520	0.00087402881694686
"577"	11540	0.000832020847812043
"578"	11560	0.000820936198233481
"579"	11580	0.000887649737166552
"580"	11600	0.000824174703010249
"581"	11620	0.000789812690653143
"582"	11640	0.000806540627209895
"583"	11660	0.00080002465484702
"584"	11680	0.000822664896470241
"585"	11700	0.000853580130778395
"586"	11720	0.000769545527914735
"587"	11740	0.000814434562867152
"588"	11760	0.000846317735026779
"589"	11780	0.000802071029669102
